date,team,total_wins,localwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-02-05T06:34:49Z,DAMWON Gaming,63,0.677,4.786,1.784,6.887,0.2,LCK,0,0,1,0.492,2832.02,2001.802,-1209,-2236,1,232.726
2020-02-05T06:34:49Z,T1,65,0.677,1.9,1.932,6.863,0.2,LCK,0,1,1,0.344,2803.531,1892.495,1209,2236,0,232.726
2020-02-05T09:00:00Z,DAMWON Gaming,63,0.677,1.833,1.756,6.297,0.2,LCK,-1,1,1,0.209,3330.042,1840.913,455,-535,0,232.625
2020-02-05T09:00:00Z,T1,65,0.677,6,2.116,6.74,0.2,LCK,1,0,1,0.376,2573.833,2705.143,-455,535,1,232.625
2020-02-05T10:14:43Z,DAMWON Gaming,63,0.677,3.222,1.768,6.924,0.2,LCK,-3,0,2,0.148,1565.224,939.718,-2759,-1281,0,232.573
2020-02-05T10:14:43Z,T1,65,0.677,4.571,2.271,7.351,0.2,LCK,3,1,1,0.19,1662.806,1054.769,2759,1281,1,232.573
2020-02-05T11:33:06Z,Gen.G,67,0.698,0.727,1.352,6.199,0.2,LCK,-4,0,0,0.069,1978.181,1349.897,98,-301,0,232.519
2020-02-05T11:33:06Z,KT Rolster,43,0.467,22,1.606,6.398,0.2,LCK,4,1,1,0.378,2419.771,1446.625,-98,301,1,232.519
2020-02-05T13:10:34Z,Gen.G,67,0.698,79,1.574,7.204,0.2,LCK,4,1,1,0.298,1662.548,1193.027,2176,1363,1,232.451
2020-02-05T13:10:34Z,KT Rolster,43,0.467,0,1.439,6.6,0.2,LCK,-4,0,0,0,2094.257,748.676,-2176,-1363,0,232.451
2020-02-05T13:54:23Z,Gen.G,67,0.698,7.4,1.355,6.556,0.2,LCK,1,0,1,0.383,2324.76,1585.335,935,534,1,232.421
2020-02-05T13:54:23Z,KT Rolster,43,0.467,1.083,1.61,6.294,0.2,LCK,-1,1,0,0.16,2647.668,1482.843,-935,-534,0,232.421
2020-02-06T07:48:27Z,SANDBOX Gaming,38,0.409,12,1.79,6.595,0.2,LCK,3,1,0,0.716,2047.875,1664.609,5639,3340,1,231.675
2020-02-06T07:48:27Z,SeolHaeOne Prince,23,0.274,0.562,1.065,6.067,0.2,LCK,-3,0,0,0.179,2283.222,1054.541,-5639,-3340,0,231.675
2020-02-06T08:42:19Z,SANDBOX Gaming,38,0.409,12.4,1.999,6.445,0.2,LCK,4,1,2,0.714,2863.071,2274.561,5367,3415,1,231.637
2020-02-06T08:42:19Z,SeolHaeOne Prince,23,0.274,0.667,1.156,5.827,0.2,LCK,-4,0,0,0.17,2908.793,1854.391,-5367,-3415,0,231.637
2020-02-06T10:47:18Z,Afreeca Freecs,42,0.452,3.727,2.108,6.027,0.2,LCK,4,1,1,0.196,1895.671,2543.468,1514,542,1,231.55
2020-02-06T10:47:18Z,Griffin,17,0.34,4.6,1.49,5.386,0.2,LCK,-4,0,1,0.215,3234.544,1367.523,-1514,-542,0,231.55
2020-02-06T12:03:48Z,Afreeca Freecs,42,0.452,4.333,2.047,6.358,0.2,LCK,3,0,2,0.61,2277.084,2763.579,2527,1877,1,231.497
2020-02-06T12:03:48Z,Griffin,17,0.34,2.565,1.32,6.114,0.2,LCK,-3,1,0,0.477,3503.332,1671.993,-2527,-1877,0,231.497
2020-02-07T07:23:45Z,Hanwha Life Esports,25,0.287,11,1.844,6.97,0.2,LCK,2,1,1,0.534,2000.499,2144.98,4299,1805,1,230.692
2020-02-07T07:23:45Z,T1,65,0.677,0.85,1.625,7.045,0.2,LCK,-2,0,0,0.16,2889.22,1251.929,-4299,-1805,0,230.692
2020-02-07T08:57:46Z,Hanwha Life Esports,25,0.287,2,1.639,6.59,0.2,LCK,0,1,0,0.137,1532.023,1195.543,-784,-843,1,230.627
2020-02-07T08:57:46Z,T1,65,0.677,5.25,1.591,6.528,0.2,LCK,0,0,1,0.24,2011.371,896.263,784,843,0,230.627
2020-02-07T09:40:54Z,Hanwha Life Esports,25,0.287,6.3,1.562,5.438,0.2,LCK,2,1,1,0.372,3457.854,2189.954,-1235,-2361,1,230.597
2020-02-07T09:40:54Z,T1,65,0.677,2.188,2.064,6.321,0.2,LCK,-2,0,1,0.232,2916.948,2600.31,1235,2361,0,230.597
2020-02-07T11:00:47Z,DRX,68,0.642,1.688,1.909,6.487,0.2,LCK,-3,0,0,0.203,2713.578,1524.023,-2352,-1324,0,230.541
2020-02-07T11:00:47Z,KT Rolster,43,0.467,6.286,1.677,6.702,0.2,LCK,3,1,1,0.464,2380.126,1871.344,2352,1324,1,230.541
2020-02-07T12:27:11Z,DRX,68,0.642,33,1.791,6.969,0.2,LCK,3,0,1,0.591,2742.236,2064.089,3428,2886,1,230.481
2020-02-07T12:27:11Z,KT Rolster,43,0.467,0.25,1.643,6.307,0.2,LCK,-3,1,0,0.059,2614.108,1525.892,-3428,-2886,0,230.481
2020-02-07T13:25:47Z,DRX,68,0.642,10,1.796,6.816,0.2,LCK,3,1,2,0.356,2318.348,1774.872,564,689,0,230.44
2020-02-07T13:25:47Z,KT Rolster,43,0.467,1.154,1.883,6.624,0.2,LCK,-3,0,0,0.137,2331.569,1367.929,-564,-689,1,230.44
2020-02-08T06:53:35Z,DAMWON Gaming,63,0.677,2.533,1.715,6.911,0.2,LCK,-3,0,0,0.378,2378.024,1674.262,-194,480,0,229.713
2020-02-08T06:53:35Z,SeolHaeOne Prince,23,0.274,3.583,1.778,6.23,0.2,LCK,3,1,1,0.473,2375.218,1815.102,194,-480,1,229.713
2020-02-08T08:44:30Z,DAMWON Gaming,63,0.677,8.625,1.71,7.204,0.2,LCK,2,1,0,0.855,3243.955,2488.931,3546,2559,0,229.636
2020-02-08T08:44:30Z,SeolHaeOne Prince,23,0.274,0.792,1.404,6.043,0.2,LCK,-2,0,0,0.285,3031.995,1661.437,-3546,-2559,1,229.636
2020-02-08T10:09:13Z,Gen.G,67,0.698,79,1.539,7.348,0.2,LCK,4,1,1,0.288,1524.014,983.044,1953,948,1,229.577
2020-02-08T10:09:13Z,Griffin,17,0.34,0,1.474,6.823,0.2,LCK,-4,0,0,0,1583.583,659.389,-1953,-948,0,229.577
2020-02-08T11:38:24Z,Gen.G,67,0.698,6.286,1.844,6.386,0.2,LCK,2,1,1,0.33,2162.286,1749.323,1784,2256,1,229.515
2020-02-08T11:38:24Z,Griffin,17,0.34,2.308,1.438,6.198,0.2,LCK,-2,0,0,0.178,2379.602,1375.301,-1784,-2256,0,229.515
2020-02-09T07:27:58Z,DRX,68,0.642,1.308,1.399,6.753,0.2,LCK,1,1,0,0.141,2542.905,1835.543,2108,932,1,228.689
2020-02-09T07:27:58Z,SANDBOX Gaming,38,0.409,8.8,1.839,7.035,0.2,LCK,-1,0,2,0.367,2778.787,1781.975,-2108,-932,0,228.689
2020-02-09T08:48:49Z,DRX,68,0.642,5.778,1.52,6.896,0.2,LCK,-2,0,1,0.525,2182.709,1856.014,2415,1861,1,228.633
2020-02-09T08:48:49Z,SANDBOX Gaming,38,0.409,1.706,1.718,6.389,0.2,LCK,2,1,0,0.278,2570.546,1320.031,-2415,-1861,0,228.633
