date,team,total_wins,worldwinrate,KDA,vspm,cspm,dms,league,team_dragons_adv,firstheraldrate,barons,team_kpm,dtpm,dpm,golddiffat15,xpdiffat15,firsttower,timediff
2020-09-25T07:42:21Z,INTZ,1,0.2,2.722,1.606,5.948,0.2,WCS,0,0,0,0.403,2757.006,1677.178,-1812,-2247,0,-7.706
2020-09-25T07:42:21Z,MAD Lions,4,0.4,4.143,1.727,6.271,0.2,WCS,0,1,2,0.518,2662.572,2110.681,1812,2247,1,-7.706
2020-09-25T08:50:59Z,PSG Talon,6,0.545,12.125,1.609,6.364,0.2,WCS,2,1,0,0.82,3292.773,1982.854,1562,571,1,-8.85
2020-09-25T08:50:59Z,Rainbow7,2,0.286,0.741,1.19,6.14,0.2,WCS,-2,0,0,0.243,2788.664,1943.411,-1562,-571,0,-8.85
2020-09-25T10:00:18Z,INTZ,1,0.2,4,1.549,5.971,0.2,WCS,2,0,0,0.417,2879.608,2697.23,-4035,-769,0,-10.005
2020-09-25T10:00:18Z,Legacy Esports,3,0.375,2.588,1.593,6.485,0.2,WCS,-2,1,2,0.417,3900.588,2113.137,4035,769,1,-10.005
2020-09-25T11:09:59Z,LGD Gaming,11,0.647,0.312,1.502,7.077,0.2,WCS,-3,1,0,0.056,2568.186,1661.519,1601,487,1,-11.166
2020-09-25T11:09:59Z,PSG Talon,6,0.545,30,1.75,6.987,0.2,WCS,3,0,2,0.45,2373.727,1612.096,-1601,-487,0,-11.166
2020-09-25T12:14:27Z,MAD Lions,4,0.4,1.409,1.367,6.555,0.2,WCS,0,0,0,0.298,2559.224,1559.254,-19,1272,1,-12.241
2020-09-25T12:14:27Z,Team Liquid,7,0.636,7.5,1.576,6.185,0.2,WCS,0,1,1,0.657,2494.298,1781.433,19,-1272,0,-12.241
2020-09-26T07:43:01Z,Rainbow7,2,0.286,1.25,1.633,6.006,0.2,WCS,-3,0,0,0.171,2978.649,1624.539,-1794,-1105,0,-31.717
2020-09-26T07:43:01Z,V3 Esports,1,0.2,8,1.735,6.674,0.2,WCS,3,1,2,0.457,2473.53,2233.987,1794,1105,1,-31.717
2020-09-26T08:50:53Z,INTZ,1,0.2,0.312,1.567,6.356,0.2,WCS,-3,1,0,0.063,2595.48,865.013,-2656,-2618,1,-32.848
2020-09-26T08:50:53Z,SuperMassive Esports,5,0.417,30,1.491,6.909,0.2,WCS,3,0,1,0.503,2116.518,1590.519,2656,2618,0,-32.848
2020-09-26T09:51:52Z,Unicorns Of Love.CIS,6,0.429,7.6,1.178,6.677,0.2,WCS,4,0,1,1.052,3161.484,3051.97,426,2109,0,-33.864
2020-09-26T09:51:52Z,V3 Esports,1,0.2,1,1.045,5.632,0.2,WCS,-4,1,0,0.351,3717.615,2011.28,-426,-2109,1,-33.864
2020-09-26T10:53:03Z,LGD Gaming,11,0.647,1.95,1.789,6.658,0.2,WCS,-4,0,0,0.327,3036.382,2018.091,1088,590,0,-34.884
2020-09-26T10:53:03Z,Rainbow7,2,0.286,5.308,1.698,6.241,0.2,WCS,4,1,2,0.502,2795.226,2000.754,-1088,-590,1,-34.884
2020-09-26T12:01:06Z,PSG Talon,6,0.545,3.538,1.311,5.894,0.2,WCS,0,0,0,0.384,3563.268,2201.309,-1768,-858,0,-36.018
2020-09-26T12:01:06Z,Unicorns Of Love.CIS,6,0.429,3.692,1.4,6.053,0.2,WCS,0,1,2,0.384,3250.689,2577.726,1768,858,1,-36.018
2020-09-26T13:03:02Z,MAD Lions,4,0.4,0.778,1.206,6.393,0.2,WCS,-1,0,0,0.172,2622.813,1445.442,-1078,-237,0,-37.051
2020-09-26T13:03:02Z,SuperMassive Esports,5,0.417,13.8,1.633,6.048,0.2,WCS,1,1,1,0.62,2491.343,1786.36,1078,237,1,-37.051
2020-09-26T14:01:10Z,Legacy Esports,3,0.375,0.125,1.093,5.884,0.2,WCS,-3,1,0,0.035,2529.772,1298.214,-3161,-3229,0,-38.019
2020-09-26T14:01:10Z,Team Liquid,7,0.636,49,1.422,6.851,0.2,WCS,3,0,1,0.56,2028.862,1923.783,3161,3229,1,-38.019
2020-09-27T07:42:05Z,LGD Gaming,11,0.647,7.222,2.101,6.358,0.2,WCS,2,0,1,0.52,3149.439,2486.758,2542,1708,1,-55.701
2020-09-27T07:42:05Z,V3 Esports,1,0.2,1.526,1.171,5.943,0.2,WCS,-2,1,0,0.246,3449.466,2187.934,-2542,-1708,0,-55.701
2020-09-27T08:50:53Z,Rainbow7,2,0.286,15.8,1.391,6.71,0.2,WCS,1,1,1,0.906,2519.819,2411.413,5442,2833,1,-56.848
2020-09-27T08:50:53Z,Unicorns Of Love.CIS,6,0.429,0.56,1.312,5.703,0.2,WCS,-1,0,0,0.145,3042.101,1476.956,-5442,-2833,0,-56.848
2020-09-27T09:47:45Z,PSG Talon,6,0.545,12.375,1.481,6.285,0.2,WCS,3,1,1,0.903,2602.396,2904.094,2823,2571,1,-57.796
2020-09-27T09:47:45Z,V3 Esports,1,0.2,1,1.149,5.483,0.2,WCS,-3,0,0,0.289,3912.101,1586.948,-2823,-2571,0,-57.796
2020-09-27T10:59:53Z,LGD Gaming,11,0.647,1.5,1.412,5.816,0.2,WCS,-5,0,0,0.346,3364.092,1805.879,1075,-703,0,-58.998
2020-09-27T10:59:53Z,Unicorns Of Love.CIS,6,0.429,6.083,1.395,5.942,0.2,WCS,5,1,1,0.692,2689.481,2514.957,-1075,703,1,-58.998
2020-09-27T12:02:45Z,PSG Talon,6,0.545,10.4,1.534,6.832,0.2,WCS,0,0,1,0.388,2382.427,1805.997,-2594,-320,0,-60.046
2020-09-27T12:02:45Z,Unicorns Of Love.CIS,6,0.429,1.154,1.802,6.719,0.2,WCS,0,1,0,0.149,2793.595,1470.821,2594,320,1,-60.046
2020-09-27T13:03:59Z,LGD Gaming,11,0.647,8.75,1.61,6.865,0.2,WCS,3,1,2,0.599,2270.125,2221.526,4435,2258,1,-61.066
2020-09-27T13:03:59Z,V3 Esports,1,0.2,1.45,1.508,5.997,0.2,WCS,-3,0,0,0.239,2834.963,1361.207,-4435,-2258,0,-61.066
2020-09-28T07:35:54Z,SuperMassive Esports,5,0.417,1.35,1.115,6.106,0.2,WCS,-2,1,0,0.264,2571.65,1489.142,328,-1198,1,-79.598
2020-09-28T07:35:54Z,Team Liquid,7,0.636,10.5,1.518,6.594,0.2,WCS,2,0,1,0.66,2196.733,1805.313,-328,1198,0,-79.598
2020-09-28T08:45:37Z,Legacy Esports,3,0.375,7,1.489,6.228,0.2,WCS,3,1,1,0.655,3407.287,2371.193,1210,-66,1,-80.76
2020-09-28T08:45:37Z,MAD Lions,4,0.4,1.88,1.51,5.934,0.2,WCS,-3,0,0,0.341,3183.591,2574.26,-1210,66,0,-80.76
2020-09-28T09:49:24Z,INTZ,1,0.2,7.667,1.565,6.286,0.2,WCS,1,0,2,0.358,2561.928,1509.862,-3149,-2813,0,-81.823
2020-09-28T09:49:24Z,Team Liquid,7,0.636,1.538,1.521,6.672,0.2,WCS,-1,1,0,0.165,2339.146,1505.372,3149,2813,1,-81.823
2020-09-28T10:53:32Z,Legacy Esports,3,0.375,12.222,1.315,5.225,0.2,WCS,-2,1,1,0.91,3056.36,2375.629,1202,-91,1,-82.892
2020-09-28T10:53:32Z,SuperMassive Esports,5,0.417,1.074,1.369,5.44,0.2,WCS,2,0,0,0.303,2996.191,1978.854,-1202,91,0,-82.892
2020-09-28T11:51:53Z,INTZ,1,0.2,1.5,1.605,6.183,0.2,WCS,-3,1,1,0.185,3130.702,1657.669,1931,1087,1,-83.865
